Overseas Plants,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
 Xcent (AI3 4DR),5516,5053,4883,4526,4433,4299,4757,4304,4462,4805,4248,3852,55138
 Grand i10 (AI3 5DR),6865,4947,5034,5117,5328,4948,4922,5365,5103,6235,5667,4489,64020
 i20 (BI3 5DR),7083,5131,5155,5199,5169,5315,4937,4913,4428,5354,3925,3453,60062
 Verna (Hci),,,,,,,,,,,,,
 Verna (BN7i),2168,1678,1712,1571,1381,1424,1420,1194,1198,1272,1213,872,17103
Exter (AI3 SUV),8229,7582,8475,7756,7697,6908,6037,6632,6908,7127,5747,5270,84368
 Venue (QXi),11831,8933,9614,9120,9327,9890,8840,9085,10259,10901,9754,10265,117819
 Creta (SU2i),13212,15276,16458,15447,14662,16293,17350,16762,15902,17497,15452,12608,186919
 Creta (SU2i LWB),1827,1290,1420,1219,944,882,585,1105,2712,2204,2134,1342,17664
 Kona EV (OSi EV),102,86,71,,,,,,,,,,259
 IONIQ5 (NEi),95,66,65,45,42,30,35,40,31,32,22,24,527
 Tucson (NX4i),183,157,110,201,168,114,129,125,98,141,84,33,1543
 Xcent (AI3 4DR),1452,1394,2701,3407,2950,2700,2685,2564,2537,2173,2153,2423,29139
 Grand i10 (AI3 5DR),2821,3480,2675,2925,3671,3704,4564,4395,3388,4707,3376,4072,43778
 i20 (BI3 5DR),226,407,577,265,887,410,375,587,532,512,1045,95,5918
 Verna (Hci),,,,,,,,,,,,,
 Verna (BN7i),4845,3475,4730,4499,4047,5416,4673,3563,4863,4641,4031,4054,52837
 Exter(AI3 SUV),29,26,40,13,2,5,1008,1009,733,919,1165,553,5502
 Venue(QXi),172,701,929,1449,1279,1015,591,1104,719,501,264,429,9153
 Creta(SU2i),279,292,12,1,375,406,308,268,306,654,172,386,3459
 Creta(SU2i LWB),676,525,936,941,1189,1044,1346,160,22,403,800,858,8900
i10 (AC3),114,181,179,217,20,3,270,206,106,177,259,142,1874
i20 (BC3),1279,966,1529,1903,2207,1774,1043,1457,2021,2020,2195,3308,21702
Bayon (BC3 CUV),1186,1441,1200,1157,1061,1536,1182,1141,1271,1227,2496,2686,17584
i20 N (BC3 N),49,51,50,50,,174,76,50,,,,,500
Sub-total,2628,2639,2958,3327,3288,3487,2571,2854,3398,3424,4950,6136,41660
i10 (AC3),6778,6477,7122,5594,7113,6203,6823,4089,7427,7969,7625,7268,80488
i20 (BC3),7505,7370,9268,4903,7849,4710,7167,4398,5561,7223,7929,7448,81331
Bayon (BC3 CUV),4313,3357,2476,2523,4647,2965,4554,3320,3367,3184,2010,1358,38074
i20 N (BC3 N),887,596,734,538,146,292,171,143,360,224,16,,4107
 Elantra (CN7c),7008,6631,12105,5301,7129,5845,1803,3054,3843,2373,2396,3149,60637
 Sonata (DN8c),22,273,1103,2038,2088,1913,821,770,767,756,985,1248,12784
 Custo (KU),748,423,891,482,1047,905,635,851,1112,1273,800,1443,10610
 Mufasa (NU2),2595,2012,3779,624,908,991,387,324,628,780,466,1758,15252
 La festa (SQ),52,10,326,604,,,,2,3,,,,997
 Verna (YC),,,,,,,,,,,,,
 Celesta (ID),,,,,,,,,,,,,
 Mistra (DU2),,,,,,,,,,,,,
 Tucson (NX4c),3567,2741,2740,897,1791,1750,1053,1625,1837,866,2082,1359,22308
 Tucson HEV (NX4c HEV),1,,,,,,1,,,,,14,16
 ix35 (NU),,,,,,,,,,,,,
 Santa Fe (MX5c),,,,,,,,264,810,342,271,258,1945
 Santa Fe (TMc),60,20,59,55,37,7,3,110,,60,,167,578
